熱點類別,熱點名稱,熱點分類,建置年度,行政區,行政里,地址,latitude,longitude,
tainan熱點,七股區圖書館,文教藝文,101,七股區,大埕里,724臺南市七股區大埕里377號,23.1453614,120.144496,
tainan熱點,下營區圖書館,文教藝文,101,下營區,下營里,735臺南市下營區下營里文化街117號,23.2338129,120.265147,
tainan熱點,大內區圖書館,文教藝文,101,大內區,大內里,742臺南市大內區大內里1-36號,23.1195988,120.3622866,
tainan熱點,山上區圖書館,文教藝文,101,山上區,南洲里,743臺南市山上區南洲里53號,23.0958254,120.3478746,
tainan熱點,中西區圖書館,文教藝文,101,中西區,永華里,700臺南市中西區永華里中正路5巷1號,22.9912475,120.2046485,
tainan熱點,仁德區圖書館,文教藝文,101,仁德區,仁義里,717臺南市仁德區仁義里正義一街39號2樓,22.9725959,120.253227,
tainan熱點,六甲區圖書館,文教藝文,101,六甲區,水林里,734臺南市六甲區水林里中山路202號4樓,23.2323424,120.3446554,
tainan熱點,北門區圖書館,文教藝文,101,北門區,永隆里,727臺南市北門區永隆里港北49號,23.2710919,120.121338,
tainan熱點,左鎮區圖書館,文教藝文,101,左鎮區,中正里,713臺南市左鎮區中正里176-19號,23.0679769,120.409835,
tainan熱點,永康區圖書館,文教藝文,101,永康區,永康里,710臺南市永康區永康里永大二路88號,23.018829,120.259422,
tainan熱點,永康國小,文教藝文,99,永康區,永康里,710臺南市永康區永康里中山南路637號,23.0259331,120.2559899,
tainan熱點,玉井區圖書館,文教藝文,101,玉井區,玉田里,714臺南市玉井區玉田里民族路218號,23.1237329,120.4690918,
tainan熱點,白河區圖書館,文教藝文,101,白河區,永安里,732臺南市白河區永安里大德街1號,23.352878,120.412225,
tainan熱點,安平區圖書館,文教藝文,101,安平區,平通里,708臺南市安平區平通里育平路320號,22.9948393,120.1683064,
tainan熱點,安定區圖書館,文教藝文,101,安定區,安加里,745臺南市安定區安加里262-8號,23.1135653,120.2382911,
tainan熱點,安南區土城圖書館,文教藝文,101,安南區,城中里,709臺南市安南區城中里城安路85號,23.066394,120.1269084,
tainan熱點,安南區安南圖書館,文教藝文,101,安南區,溪心里,709臺南市安南區溪心里安中路二段310號3樓,23.04727,120.18449,
tainan熱點,西港區圖書館,文教藝文,101,西港區,西港里,723臺南市西港區西港里中山路370號3樓,23.1235099,120.203232,
tainan熱點,佳里區圖書館,文教藝文,101,佳里區,六安里,722臺南市佳里區六安里安北路118號,23.168847,120.177211,
tainan熱點,佳里區蕭壠兒童圖書館,文教藝文,101,佳里區,六安里,722臺南市佳里區六安里130號,23.173168,120.179117,
tainan熱點,官田區圖書館,文教藝文,101,官田區,隆本里,720臺南市官田區隆本里中山路一段129號,23.1933285,120.3114802,
tainan熱點,東山區圖書館,文教藝文,101,東山區,東山里,733臺南市東山區東山里225-4號2樓,23.3263299,120.4039659,
tainan熱點,東區林森圖書館,文教藝文,101,東區,新東里,701臺南市東區新東里林森路二段46號,22.9865741,120.223151,
tainan熱點,東區裕文圖書館,文教藝文,102,東區,裕聖里,701臺南市東區裕聖里裕信路237號,22.98212,120.2452139,
tainan熱點,南化區圖書館,文教藝文,101,南化區,南化里,716臺南市南化區南化里227-1號,23.0452909,120.4799909,
tainan熱點,南區喜樹圖書館,文教藝文,101,南區,喜南里,702臺南市南區喜南里喜樹路179號,22.9403003,120.1781799,
tainan熱點,南瀛天文教育園區,文教藝文,100,大內區,曲溪里,742臺南市大內區曲溪里34-2號,23.1145349,120.3925467,
tainan熱點,後壁區圖書館,文教藝文,101,後壁區,後壁里,731臺南市後壁區後壁里131號,23.3632139,120.3579632,
tainan熱點,柳營區圖書館,文教藝文,101,柳營區,士林里,736臺南市柳營區士林里柳營路二段59號,23.2774169,120.3123024,
tainan熱點,將軍區圖書館,文教藝文,101,將軍區,忠興里,725臺南市將軍區忠興里180-50號,23.2018481,120.1632603,
tainan熱點,麻豆區圖書館,文教藝文,101,麻豆區,巷口里,721臺南市麻豆區巷口里興國路11號3、4樓,23.1829368,120.2484187,
tainan熱點,善化區圖書館,文教藝文,101,善化區,東關里,741臺南市善化區東關里中山路377號3樓,23.1321831,120.2917216,
tainan熱點,新化區圖書館,文教藝文,101,新化區,護國里,712臺南市新化區護國里中山路132號,23.0372916,120.3104345,
